Category,Original Text,Normalized Value,Normalized Value Corrected
DATE,6/8/1999,1999-08-06,1999-08-06
TIME,16/06/2014 at 16:25,2014-06-16T16:25,2014-06-16T16:25
DATE,19.8.64,2064-08-19,2064-08-19
DATE,22/8/2064,2064-08-22,2064-08-22
DATE,20.8.64,2064-08-20,2064-08-20
DATE,21/8/2064,2064-08-21,2064-08-21
DATE,15/8/64,2064-08-15,2064-08-15
DATE,27/8/2064,2064-08-27,2064-08-27
TIME,1:15pm on 20.6.14,2014-06-20T13:15,2014-06-20T13:15
DATE,25.8.64,2064-08-25,2064-08-25
DATE,2/8/1982,1982-02-08,1982-08-02
DATE,24/9/2063,2063-09-24,2063-09-24
DATE,25/9/63,2063-09-25,2063-09-25
DATE,1/9/63,2063-01-09,2063-09-01
DATE,28/8/64,2064-08-28,2064-08-28
DATE,24/5/2009,2009-05-24,2009-05-24
DATE,26/8/2064,2064-08-26,2064-08-26
DATE,27/8/64,2064-08-27,2064-08-27
DATE,3/11/2016,2016-03-11,2016-11-03
DATE,20/8/2064,2064-08-20,2064-08-20
DATE,21.8.64,2064-08-21,2064-08-21
DATE,3/10/1986,1986-03-10,1986-10-03
DATE,25/8/2064,2064-08-25,2064-08-25
DATE,26.8.64,2064-08-26,2064-08-26
DATE,5/7/1977,1977-07-05,1977-07-05
TIME,20/06/2014 at 10:09,2014-06-20T10:09,2014-06-20T10:09
DATE,53,53,
DATE,25.8.64,2064-08-25,2064-08-25
DATE,13/2/1997,1997-02-13,1997-02-13
TIME,25/06/2014 at 13:29,2014-06-25T13:29,2014-06-25T13:29
DATE,2029,2029,2029
TIME,3.55pm on 25.06.14,2014-06-25T15:55,2014-06-25T15:55
DATE,28.8.64,2064-08-28,2064-08-28
DATE,7/6/2017,2017-06-07,2017-06-07
TIME,22/05/2014 at 14:56,2014-05-22T14:56,2014-05-22T14:56
DURATION,5 years,P5Y,P5Y
DATE,25.7.64,2064-07-25,2064-07-25
DATE,18/8/2064,2064-08-18,2064-08-18
DATE,12/11/1979,1979-12-11,1979-11-12
DATE,27/8/2064,2064-08-27,2064-08-27
TIME,12.23pm on 25.06.14,2014-06-25T12:23,2014-06-25T12:23
DATE,28.8.64,2064-08-28,2064-08-28
DATE,27/8/2009,2009-08-27,2009-08-27
TIME,25/06/2014 at 12:36,2014-06-25T12:36,2014-06-25T12:36
TIME,2.15pm on 25.06.14,2014-06-25T14:15,2014-06-25T14:15
DATE,28.8.64,2064-08-28,2064-08-28
DATE,29/4/2014,2014-04-29,2014-04-29
TIME,30/06/2014 at 19:53,2014-06-30T19:53,2014-06-30T19:53
DATE,5.9.64,2064-09-05,2064-09-05
DATE,4/9/64,2064-09-04,2064-09-04
DATE,24/9/2015,2015-09-24,2015-09-24
TIME,02/07/2014 at 12:55,2014-07-02T12:55,2014-07-02T12:55
TIME,2.30 on 02.07.14,2014-07-02T02:30,2014-07-02T02:30
DATE,9.5.64,2064-09-05,2064-05-09
DATE,27/4/2002,2002-04-27,2002-04-27
TIME,01/07/2014 at 13:18,2014-07-01T13:18,2014-07-01T13:18
DATE,9/4/64,2064-09-04,2064-04-09
DATE,28/8/2003,2003-08-28,2003-08-28
TIME,25/06/2014 at 17:45,2014-06-25T17:45,2014-06-25T17:45
DATE,28/8/64,2064-08-28,2064-08-28
DATE,9/4/2064,2064-09-04,2064-04-09
DATE,2063,2063-14,2063
DATE,9/3/64,2064-09-03,2064-03-09
DATE,25/1/2020,2020-01-25,2020-01-25
TIME,26/06/2014 at 16:36,2014-06-26T16:36,2014-06-26T16:36
DATE,29.8.64,2064-08-29,2064-08-29
DATE,5/11/1992,1992-11-05,1992-11-05
TIME,10/02/2014 at 11:20,2014-02-10T11:20,2014-02-10T11:20
DATE,13.4.64,2064-04-13,2064-04-13
DATE,10/9/2064,2064-09-10,2064-09-10
DATE,24/5/2000,2000-05-24,2000-05-24
DATE,24/3/2064,2064-03-24,2064-03-24
TIME,1:35pm on 22.01.14,2014-01-22T13:35,2014-01-22T13:35
DATE,25.3.64,2064-03-25,2064-03-25
DATE,30/5/1997,1997-05-30,1997-05-30
DATE,25/3/2063,2063-03-25,2063-03-25
TIME,1.20pm on 23.01.13,2013-01-23T13:20,2013-01-23T13:20
DATE,26.3.63,2063-03-26,2063-03-26
DATE,9/12/64,2064-09-12,2064-12-09
DATE,2/5/1984,1984-02-05,1984-05-02
DATE,9/10/2064,2064-09-10,2064-10-09
DATE,2063,2063-14,2063
DATE,2045,2045,2045
DATE,9/11/64,2064-09-11,2064-11-09
DATE,15/8/2064,2064-08-15,2064-08-15
DATE,10/12/2010,2010-10-12,2010-12-10
DATE,14/8/2064,2064-08-14,2064-08-14
DATE,15.8.64,2064-08-15,2064-08-15
DATE,27/8/2009,2009-08-27,2009-08-27
TIME,25/06/2014 at 12:36,2014-06-25T12:36,2014-06-25T12:36
DATE,13.9.64,2064-09-13,2064-09-13
TIME,2.15pm on 25.06.14,2014-06-25T14:15,2014-06-25T14:15
DATE,28.8.64,2064-08-28,2064-08-28
DATE,13.9.64,2064-09-13,2064-09-13
SET,twice,R2,R2
DATE,9/2/2009,2009-09-02,2009-02-09
DATE,8/6/2064,2064-08-06,2064-06-08
DATE,13.9.64,2064-09-13,2064-09-13
TIME,16.15pm on 04.06.14,2014-06-04T16:15,2014-06-04T16:15
DATE,8.7.64,2064-08-07,2064-07-08
DATE,13.9.64,2064-09-13,2064-09-13
SET,twice,R2,R2
DATE,9/2/1991,1991-09-02,1991-02-09
DATE,9/9/2064,2064-09-09,2064-09-09
TIME,10:31am on the 7th of July 2014,2014-07-07T10:31,T10:31
DATE,9.12.64,2064-09-12,2064-12-09
DATE,9.11.64,2064-09-11,2064-11-09
DATE,24/6/2003,2003-06-24,2003-06-24
TIME,03/06/2014 at 11:46,2014-06-03T11:46,2014-06-03T11:46
DATE,13/9/64,2064-09-13,2064-09-13
DATE,4/8/64,2064-04-08,2064-08-04
DATE,5.8.64,2064-08-05,2064-08-05
DATE,6.8.64,2064-08-06,2064-08-06
DATE,13/8/64,2064-08-13,2064-08-13
DATE,22.8.64,2064-08-22,2064-08-22
DATE,20.8.64,2064-08-20,2064-08-20
DATE,13/9/64,2064-09-13,2064-09-13
SET,twice,R2,R2
DATE,9/9/2039,2039-09-09,2039-09-09
TIME,17/06/2014 at 13:00,2014-06-17T13:00,2014-06-17T13:00
DATE,31-01-14,2064-03-03,2014-01-31
DATE,28/8/64,2064-08-28,2064-08-28
DATE,27/1/2011,2011-01-27,2011-01-27
TIME,29/05/2014 at 13:45,2014-05-29T13:45,2014-05-29T13:45
DATE,8/4/64,2064-08-04,2064-04-08
DATE,19/8/64,2064-08-19,2064-08-19
DATE,19/8/64,2064-08-19,2064-08-19
DATE,24/2/1994,1994-02-24,1994-02-24
TIME,03/06/2014 at 15:00,2014-06-03T15:00,2014-06-03T15:00
DATE,8/8/64,2064-08-08,2064-08-08
DATE,28/1/2014,2014-01-28,2014-01-28
TIME,02/07/2014 at 11:58,2014-07-02T11:58,2014-07-02T11:58
DATE,2062,2062,2062
DATE,8/9/64,2064-08-09,2064-09-08
DATE,27/9/2004,2004-09-27,2004-09-27
TIME,04/07/2014 at 08:18,2014-07-04T08:18,2014-07-04T08:18
DATE,12/9/2064,2064-09-12,2064-09-12
DATE,16/9/2064,2064-09-16,2064-09-16
DATE,21-5-14,2064-07-23,2014-05-21
DATE,13.9.64,2064-09-13,2064-09-13
DATE,16/9/2064,2064-09-16,2064-09-16
DATE,12/9/64,2064-09-12,2064-09-12
DATE,3/7/2013,2013-07-03,2013-07-03
TIME,14/07/2014 at 08:07,2014-07-14T08:07,2014-07-14T08:07
DATE,16.9.64,2064-09-16,2064-09-16
DATE,20/9/2064,2064-09-20,2064-09-20
DATE,18.9.64,2064-09-18,2064-09-18
DATE,19.9.64,2064-09-19,2064-09-19
DATE,22/11/2002,2002-11-22,2002-11-22
TIME,15/07/2014 at 11:31,2014-07-15T11:31,2014-07-15T11:31
DATE,18.9.64,2064-09-18,2064-09-18
DATE,22/11/2002,2002-11-22,2002-11-22
TIME,15/07/2014 at 11:31,2014-07-15T11:31,2014-07-15T11:31
DATE,18.9.64,2064-09-18,2064-09-18
DATE,25/9/64,2064-09-25,2064-09-25
DATE,4/5/2000,2000-04-05,2000-05-04
DATE,5/12/2064,2064-05-12,2064-12-05
DATE,26.9.64,2064-09-26,2064-09-26
TIME,4:10pm on 10.3.14,2014-03-10T16:10,2014-03-10T16:10
TIME,4:20pm on 10.3.14,2014-03-10T16:20,2014-03-10T16:20
DATE,13.5.64,2064-05-13,2064-05-13
DATE,26.9.64,2064-09-26,2064-09-26
DATE,30/11/2000,2000-11-30,2000-11-30
TIME,25/02/2013 at 08:09,2013-02-25T08:09,2013-02-25T08:09
DATE,30.9.64,2064-09-30,2064-09-30
TIME,10.30am on 25.02.13,2013-02-25T10:30,2013-02-25T10:30
DATE,28.4.63,2063-04-28,2063-04-28
DATE,3 May 2063,2063-05-03,2063-05-03
DATE,30.9.64,2064-09-30,2064-09-30
DATE,9/1/2064,2064-09-01,2064-01-09
DATE,19/9/64,2064-09-19,2064-09-19
DATE,20.9.64,2064-09-20,2064-09-20
DATE,14/7/1993,1993-07-14,1993-07-14
DATE,19/6/2064,2064-06-19,2064-06-19
DATE,25/9/64,2064-09-25,2064-09-25
DATE,2052,2052,2052
DATE,2056,2056,2056
TIME,15:00pm on 17.4.14,2014-04-17T15:00,2014-04-17T15:00
DATE,24.6.64,2064-06-24,2064-06-24
DATE,25/9/64,2064-09-25,2064-09-25
TIME,1:44 pm on 21/7/14,2014-07-21T13:44,2014-07-21T13:44
DATE,3/9/2064,2064-09-03,2064-09-03
DATE,3/9/64,2064-09-03,2064-09-03
TIME,15:30pm on 18/10/13,2013-10-18T15:30,2013-10-18T15:30
DATE,23/12/63,2063-12-23,2063-12-23
DATE,2.9.64,2064-09-02,2064-09-02
DATE,1/11/1994,1994-01-11,1994-11-01
DATE,11/12/2062,2062-11-12,2062-12-11
DATE,13.10.64,2064-10-13,2064-10-13
DATE,29.4.64,2064-04-29,2064-04-29
DATE,13.11.62,2062-11-13,2062-11-13
DATE,14.11.62,2062-11-14,2062-11-14
DATE,29.4.64,2064-04-29,2064-04-29
DATE,13.10.64,2064-10-13,2064-10-13
DATE,2/12/2005,2005-12-02,2005-12-02
TIME,23/04/2014 at 19:52,2014-04-23T19:52,2014-04-23T19:52
DATE,13.10.64,2064-10-13,2064-10-13
DATE,26.6.64,2064-06-26,2064-06-26
DATE,1.6.64,2064-06-01,2064-06-01
DATE,13.10.64,2064-10-13,2064-10-13
DATE,17/7/1997,1997-07-17,1997-07-17
DATE,12/12/2063,2063-12-12,2063-12-12
TIME,16:05pm on 10.10.13,2013-10-10T16:05,2013-10-10T16:05
DATE,13.12.63,2063-12-13,2063-12-13
DATE,21/4/2017,2017-04-21,2017-04-21
TIME,23/12/2013 at08:36,2013-12-23T08:36,2013-12-23T08:36
DATE,2.5.63,2063-02-05,2063-05-02
DATE,25.2.63,2063-02-25,2063-02-25
DATE,2.5.63,2063-02-05,2063-05-02
DATE,22/3/1995,1995-03-22,1995-03-22
TIME,15/04/2013 at 18:08,2013-04-15T18:08,2013-04-15T18:08
DATE,18.6.63,2063-06-18,2063-06-18
DATE,3.7.63,2063-07-03,2063-07-03
DATE,3/11/2064,2064-03-11,2064-11-03
DATE,3/9/64,2064-09-03,2064-09-03
TIME,1:50pm on 6/1/14,2014-01-06T13:50,2014-01-06T13:50
DATE,16/11/2006,2006-11-16,2006-11-16
TIME,07/01/2014 at 19:57,2014-01-07T19:57,2014-01-07T19:57
DATE,12.3.64,2064-03-12,2064-03-12
DATE,11.3.64,2064-03-11,2064-03-11
DATE,12.3.64,2064-03-12,2064-03-12
DATE,27/12/2063,2063-12-27,2063-12-27
DATE,25/12/63,2063-12-25,2063-12-25
DATE,25/8/2014,2014-08-25,2014-08-25
DATE,14.5.64,2064-05-14,2064-05-14
DATE,28/5/2006,2006-05-28,2006-05-28
TIME,18/06/2014 at 16:34,2014-06-18T16:34,2014-06-18T16:34
DATE,21/8/64,2064-08-21,2064-08-21
DATE,7/5/2033,2033-07-05,2033-05-07
DATE,22/10/2063,2063-10-22,2063-10-22
DATE,19/11/64,2064-11-19,2064-11-19
DATE,23.10.63,2063-10-23,2063-10-23
TIME,4:58pm on 20.8.13,2013-08-20T16:58,2013-08-20T16:58
DATE,19/11/64,2064-11-19,2064-11-19
DATE,17/2/1998,1998-02-17,1998-02-17
TIME,10/12/2013 at 12:03,2013-12-10T12:03,2013-12-10T12:03
DATE,13.2.63,2063-02-13,2063-02-13
DATE,20/2/2063,2063-02-20,2063-02-20
DURATION,20 years,P20Y,P20Y
DATE,18.2.63,2063-02-18,2063-02-18
DATE,23/4/1994,1994-04-23,1994-04-23
TIME,16/12/2013 at 17:05,2013-12-16T17:05,2013-12-16T17:05
DATE,20.2.63,2063-02-20,2063-02-20
DATE,18/2/2063,2063-02-18,2063-02-18
DATE,14/2/63,2063-02-14,2063-02-14
DATE,9/4/2007,2007-09-04,2007-04-09
TIME,19/12/2013 at 17:05,2013-12-19T17:05,2013-12-19T17:05
DATE,22.2.63,2063-02-22,2063-02-22
DATE,24/1/2003,2003-01-24,2003-01-24
TIME,02/05/2013 at 16:15,2013-05-02T16:15,2013-05-02T16:15
DATE,5.7.63,2063-07-05,2063-07-05
DATE,5/4/1999,1999-04-05,1999-04-05
TIME,25/11/2013 at 08:30,2013-11-25T08:30,2013-11-25T08:30
DATE,27/1/63,2063-01-27,2063-01-27
DATE,7/3/2003,2003-07-03,2003-03-07
DATE,21.2.63,2063-02-21,2063-02-21
DATE,28/2/2030,2030-02-28,2030-02-28
TIME,16/06/2014 at 08:37,2014-06-16T08:37,2014-06-16T08:37
DATE,18.8.64,2064-08-18,2064-08-18
DATE,20/9/2064,2064-09-20,2064-09-20
DATE,17/9/64,2064-09-17,2064-09-17
DATE,1/6/2029,2029-06-01,2029-06-01
DATE,11/11/2064,2064-11-11,2064-11-11
DATE,12/11/64,2064-11-12,2064-11-12
DATE,14/6/1996,1996-06-14,1996-06-14
DATE,16/9/2064,2064-09-16,2064-09-16
DATE,17/9/64,2064-09-17,2064-09-17
DATE,15/2/2015,2015-02-15,2015-02-15
TIME,17/06/2014 at 10:30,2014-06-17T10:30,2014-06-17T10:30
DATE,21/8/64,2064-08-21,2064-08-21
DATE,25/7/2064,2064-07-25,2064-07-25
DATE,14/12/1997,1997-12-14,1997-12-14
TIME,15/07/2014 at 12:05,2014-07-15T12:05,2014-07-15T12:05
DATE,15/10/64,2064-10-15,2064-10-15
DATE,28-04-14,2064-06-30,2014-04-28
DATE,28/6/2064,2064-06-28,2064-06-28
DATE,24/9/64,2064-09-24,2064-09-24
DATE,15/10/64,2064-10-15,2064-10-15
DATE,20/1/1997,1997-01-20,1997-01-20
TIME,01/05/2014 at 13:00,2014-05-01T13:00,2014-05-01T13:00
DATE,14/7/64,2064-07-14,2064-07-14
DATE,13/8/2064,2064-08-13,2064-08-13
TIME,5.6.14 at 10.40am,2014-06-05T10:40,2014-06-05T10:40
DATE,8/12/64,2064-08-12,2064-12-08
DATE,13.8.2064,2064-08-13,2064-08-13
DATE,12/10/2002,2002-12-10,2002-10-12
TIME,19/06/2014 at 09:53,2014-06-19T09:53,2014-06-19T09:53
DATE,25/8/64,2064-08-25,2064-08-25
DATE,14/10/1995,1995-10-14,1995-10-14
TIME,24/06/2014 at 11:10,2014-06-24T11:10,2014-06-24T11:10
DATE,28/8/64,2064-08-28,2064-08-28
DATE,19/3/2001,2001-03-19,2001-03-19
TIME,01/07/2014 at 12:25,2014-07-01T12:25,2014-07-01T12:25
DATE,9/10/64,2064-09-10,2064-10-09
DATE,18/4/2001,2001-04-18,2001-04-18
TIME,08/07/2014 at 10:45,2014-07-08T10:45,2014-07-08T10:45
DATE,13/9/64,2064-09-13,2064-09-13
DATE,21/12/2011,2011-12-21,2011-12-21
TIME,15/07/2014 at 15:30,2014-07-15T15:30,2014-07-15T15:30
DATE,20/9/64,2064-09-20,2064-09-20
DATE,5/7/2030,2030-05-07,2030-07-05
TIME,17/07/2014 at 10:09,2014-07-17T10:09,2014-07-17T10:09
DATE,19/9/64,2064-09-19,2064-09-19
DATE,23/9/64,2064-09-23,2064-09-23
DATE,20/10/2006,2006-10-20,2006-10-20
TIME,22/07/2014 at 10:16,2014-07-22T10:16,2014-07-22T10:16
TIME,10:15am on 22.7.14,2014-07-22T10:15,2014-07-22T10:15
TIME,10:15am on 22.7.14,2014-07-22T10:15,2014-07-22T10:15
DATE,26/9/64,2064-09-26,2064-09-26
DATE,9/7/2032,2032-07-09,2032-07-09
TIME,24/07/2014 at 10:23,2014-07-24T10:23,2014-07-24T10:23
TIME,10.05am on 24/7/14,2014-07-24T10:05,2014-07-24T10:05
TIME,10:30am,T10:30,T10:30
TIME,12.12hrs on 24/7/14,2014-07-24T12:12,
DATE,2/9/64,2064-09-02,2064-09-02
DATE,16/10/2064,2064-10-16,2064-10-16
DATE,23/12/2036,2036-12-23,2036-12-23
TIME,29/07/2014 at 11:30,2014-07-29T11:30,2014-07-29T11:30
DATE,10/3/2064,2064-10-03,2064-03-10
DATE,10/4/2012,2012-04-10,2012-04-10
DATE,14/10/2064,2064-10-14,2064-10-14
TIME,15:20pm on 12/8/14,2014-08-12T15:20,2014-08-12T15:20
DATE,17/10/2064,2064-10-17,2064-10-17
DATE,29/4/2016,2016-04-29,2016-04-29
TIME,07/08/2014 at 12:00,2014-08-07T12:00,2014-08-07T12:00
DATE,15/10/2064,2064-10-15,2064-10-15
DATE,2/12/1994,1994-12-02,1994-12-02
TIME,16/07/2012 at 08:21,2012-07-16T08:21,2012-07-16T08:21
DATE,16.12.64,2064-12-16,2064-12-16
TIME,10.20am,T10:20,T10:20
DATE,18.9.62,2062-09-18,2062-09-18
DATE,18.9.62,2062-09-18,2062-09-18
DATE,16.12.64,2064-12-16,2064-12-16
DATE,23/12/2064,2064-12-23,2064-12-23
DATE,8/4/64,2064-08-04,2064-04-08
DATE,19/8/64,2064-08-19,2064-08-19
DATE,19/8/64,2064-08-19,2064-08-19
DATE,24/2/1994,1994-02-24,1994-02-24
TIME,03/06/2014 at 15:00,2014-06-03T15:00,2014-06-03T15:00
DATE,8/8/64,2064-08-08,2064-08-08
DATE,15/2/2015,2015-02-15,2015-02-15
TIME,17/06/2014 at 10:30,2014-06-17T10:30,2014-06-17T10:30
DATE,21/8/64,2064-08-21,2064-08-21
DATE,17/12/1989,1989-12-17,1989-12-17
DATE,16/1/2064,2064-01-16,2064-01-16
DATE,19.1.64,2064-01-19,2064-01-19
DATE,26/2/2031,2031-02-26,2031-02-26
TIME,25/06/2013 at 16:21,2013-06-25T16:21,2013-06-25T16:21
DATE,28.8.63,2063-08-28,2063-08-28
DATE,12.9.63,2063-09-12,2063-09-12
DATE,10/9/2063,2063-10-09,2063-09-10
DATE,10/9/63,2063-09-10,2063-09-10
DATE,10/9/63,2063-09-10,2063-09-10
DATE,6/6/1998,1998-06-06,1998-06-06
TIME,05/05/2014 at 19:41,2014-05-05T19:41,2014-05-05T19:41
DATE,29.1.64,2064-01-29,2064-01-29
DATE,7/8/64,2064-07-08,2064-08-07
DATE,29.1.64,2064-01-29,2064-01-29
DATE,13/1/2064,2064-01-13,2064-01-13
DATE,5.1.64,2064-01-05,2064-01-05
DATE,13/1/2064,2064-01-13,2064-01-13
DATE,1.9.64,2064-01-09,2064-09-01
DATE,7/12/1992,1992-12-07,1992-12-07
DATE,18/11/2064,2064-11-18,2064-11-18
DATE,5/12/64,2064-12-05,2064-12-05
TIME,2:28pm on 16.9.14,2014-09-16T14:28,2014-09-16T14:28
DATE,19.11.64,2064-11-19,2064-11-19
DATE,28.11.2064,2064-11-28,2064-11-28
DATE,27/11/2064,2064-11-27,2064-11-27
DATE,5/12/64,2064-12-05,2064-12-05
SET,twice,R2,R2
DATE,20/12/2015,2015-12-20,2015-12-20
TIME,20/08/2014 at 14:42,2014-08-20T14:42,2014-08-20T14:42
DATE,23.10.64,2064-10-23,2064-10-23
DATE,15/6/2040,2040-06-15,2040-06-15
TIME,30/07/2014 at 14:06,2014-07-30T14:06,2014-07-30T14:06
DATE,2/9/64,2064-09-02,2064-09-02
DATE,15/6/2040,2040-06-15,2040-06-15
TIME,04/08/2014 at 10:08,2014-08-04T10:08,2014-08-04T10:08
DATE,15.10.64,2064-10-15,2064-10-15
TIME,11.39am on 04.08.14,2014-08-04T11:39,2014-08-04T11:39
DATE,7.10.64,2064-07-10,2064-10-07
DATE,6.10.64,2064-06-10,2064-10-06
DATE,7.10.64,2064-07-10,2064-10-07
DATE,15.10.64,2064-10-15,2064-10-15
DATE,6/4/2023,2023-04-06,2023-04-06
DATE,27/1/2064,2064-01-27,2064-01-27
DATE,28/1/64,2064-01-28,2064-01-28
DATE,26/9/2064,2064-09-26,2064-09-26
DATE,25.9.64,2064-09-25,2064-09-25
DATE,16/9/1996,1996-09-16,1996-09-16
DATE,12/11/2064,2064-11-12,2064-11-12
DATE,13.11.64,2064-11-13,2064-11-13
DATE,2/3/2012,2012-02-03,2012-03-02
DATE,17/11/2064,2064-11-17,2064-11-17
DATE,2062,2062,2062
TIME,2.26pm on 15.09.2014,2014-09-15T14:26,2014-09-15T14:26
TIME,2.46pm on 15.09.2014,2014-09-15T14:46,2014-09-15T14:46
DATE,18.11.64,2064-11-18,2064-11-18
DATE,25.11.64,2064-11-25,2064-11-25
DATE,5/2/2039,2039-05-02,2039-02-05
DATE,11/8/2064,2064-11-08,2064-08-11
TIME,1200 06.09.14,2014-09-06T12:00,2014-09-06T12:00
TIME,1200 06.09.14,2014-09-06T12:00,2014-09-06T12:00
DATE,11.10.64,2064-11-10,2064-10-11
DATE,23/12/2028,2028-12-23,2028-12-23
TIME,27/11/2014 at 10:22,2014-11-27T10:22,2014-11-27T10:22
DATE,30/1/64,2064-01-30,2064-01-30
DATE,3/2/2015,2015-02-03,2015-02-03
DATE,8/1/2064,2064-01-08,2064-01-08
TIME,16:00 on 6.11.14,2014-11-06T16:00,2014-11-06T16:00
DATE,9.1.64,2064-01-09,2064-01-09
DATE,13.1.64,2064-01-13,2064-01-13
DATE,8/9/1998,1998-09-08,1998-09-08
TIME,25/05/2012 at 14:07,2012-05-25T14:07,2012-05-25T14:07
DATE,2/7/2062,2062-07-02,2062-07-02
DATE,15/8/62,2062-08-15,2062-08-15
DATE,1/5/2064,2064-01-05,2064-05-01
DATE,12.1.64,2064-12-01,2064-01-12
DATE,30/12/2064,2064-12-30,2064-12-30
DATE,23/12/64,2064-12-23,2064-12-23
DATE,30 December 2064,2064-12-30,2064-12-30
DATE,11/9/2002,2002-11-09,2002-09-11
TIME,23/10/2014 at 09:29,2014-10-23T09:29,2014-10-23T09:29
DATE,29/12/64,2064-12-29,2064-12-29
DATE,3/8/2006,2006-03-08,2006-08-03
DATE,23/12/2064,2064-12-23,2064-12-23
DATE,24/12/64,2064-12-24,2064-12-24
DATE,15/1/2019,2019-01-15,2019-01-15
TIME,23/10/2014 at 15:59,2014-10-23T15:59,2014-10-23T15:59
DATE,1/12/64,2064-12-01,2064-12-01
DATE,15/2/2029,2029-02-15,2029-02-15
TIME,15/06/2014 at 15:03,2014-06-15T15:03,2014-06-15T15:03
DATE,18/8/64,2064-08-18,2064-08-18
DATE,11/2/2002,2002-11-02,2002-02-11
TIME,13/10/2014 at 10:18,2014-10-13T10:18,2014-10-13T10:18
DATE,1/12/64,2064-12-01,2064-12-01
DATE,12/1/64,2064-01-12,2064-01-12
DATE,18/12/2064,2064-12-18,2064-12-18
DATE,1/12/64,2064-12-01,2064-12-01
DATE,1/12/64,2064-12-01,2064-12-01
DATE,12/1/64,2064-01-12,2064-01-12
DATE,12/1/64,2064-01-12,2064-01-12
DATE,21/1/2064,2064-01-21,2064-01-21
TIME,1605hrs on 14.11.14,2014-11-14T16:05,
DATE,20/1/64,2064-01-20,2064-01-20
DATE,22/6/1998,1998-06-22,1998-06-22
TIME,16/06/2014 at 08:54,2014-06-16T08:54,2014-06-16T08:54
DATE,18.8.64,2064-08-18,2064-08-18
DATE,30/4/1981,1981-04-30,1981-04-30
TIME,21/10/2014 at 14:15,2014-10-21T14:15,2014-10-21T14:15
DATE,26/12/2064,2064-12-26,2064-12-26
DATE,13/3/1998,1998-03-13,1998-03-13
TIME,19/09/2014 at 11:04,2014-09-19T11:04,2014-09-19T11:04
DATE,25/11/64,2064-11-25,2064-11-25
DATE,26/12/2011,2011-12-26,2011-12-26
TIME,18/09/2014 at 16:42,2014-09-18T16:42,2014-09-18T16:42
DATE,24/11/64,2064-11-24,2064-11-24
DATE,17/10/2002,2002-10-17,2002-10-17
TIME,16/09/2014 at 16:42,2014-09-16T16:42,2014-09-16T16:42
DATE,21/11/64,2064-11-21,2064-11-21
DATE,13/12/1991,1991-12-13,1991-12-13
TIME,16/09/2014 at 11:20,2014-09-16T11:20,2014-09-16T11:20
DATE,21/11/2064,2064-11-21,2064-11-21
DATE,17/9/2016,2016-09-17,2016-09-17
TIME,23/09/2014 at 16:51,2014-09-23T16:51,2014-09-23T16:51
DATE,25.11.64,2064-11-25,2064-11-25
TIME,4.45 on 23.9.14,2014-09-23T16:45,2014-09-23T04:45
DATE,27/11/64,2064-11-27,2064-11-27
DATE,4/10/2018,2018-04-10,2018-10-04
TIME,02/09/2014 at 16:45,2014-09-02T16:45,2014-09-02T16:45
DATE,11/12/64,2064-11-12,2064-12-11
DATE,18/11/2064,2064-11-18,2064-11-18
DATE,10.1.64,2064-10-01,2064-01-10
DATE,5/4/1989,1989-04-05,1989-04-05
DATE,30/10/2064,2064-10-30,2064-10-30
DATE,2055,2055,2055
DATE,2057,2057,2057
DATE,1.10.64,2064-10-01,2064-10-01
DATE,17/10/2064,2064-10-17,2064-10-17
DURATION,3 years,P3Y,P3Y
DATE,16.10.64,2064-10-16,2064-10-16
DATE,24/4/2004,2004-04-24,2004-04-24
TIME,09/09/2014 at 16:38,2014-09-09T16:38,2014-09-09T16:38
TIME,4.35pm,T16:35,T16:35
DATE,14/11/64,2064-11-14,2064-11-14
DATE,18/11/64,2064-11-18,2064-11-18
DATE,21/5/1980,1980-05-21,1980-05-21
TIME,29/08/2014 at 12:52,2014-08-29T12:52,2014-08-29T12:52
DATE,1.10.64,2064-10-01,2064-10-01
DATE,25.11.64,2064-11-25,2064-11-25
DATE,5/11/2007,2007-05-11,2007-11-05
TIME,02/09/2014 at 11:42,2014-09-02T11:42,2014-09-02T11:42
DATE,Friday,2064-11-07,
DATE,11.4.64,2064-11-04,2064-04-11
DATE,17/4/1993,1993-04-17,1993-04-17
DATE,13/1/2064,2064-01-13,2064-01-13
DATE,14.1.64,2064-01-14,2064-01-14
DATE,30/10/2064,2064-10-30,2064-10-30
DATE,27.10.64,2064-10-27,2064-10-27
DATE,26/12/1997,1997-12-26,1997-12-26
DATE,29/10/2064,2064-10-29,2064-10-29
DATE,29/10/64,2064-10-29,2064-10-29
TIME,4:40pm on 27/8/14,2014-08-27T16:40,2014-08-27T16:40
TIME,4:40pm on 27/8/14,2014-08-27T16:40,2014-08-27T16:40
TIME,17:00 on 27/8/14,2014-08-27T17:00,2014-08-27T17:00
TIME,17:25 on 27/8/14,2014-08-27T17:25,2014-08-27T17:25
DATE,30/10/64,2064-10-30,2064-10-30
DATE,11/6/64,2064-11-06,2064-06-11
DATE,16/6/2002,2002-06-16,2002-06-16
TIME,22/08/2014 at 15:52,2014-08-22T15:52,2014-08-22T15:52
DATE,4/11/64,2064-11-04,2064-11-04
DATE,28/10/2064,2064-10-28,2064-10-28
DATE,27.10.64,2064-10-27,2064-10-27
DATE,27/10/2064,2064-10-27,2064-10-27
DATE,22.10.64,2064-10-22,2064-10-22
